"","Id","Percent","Percent_arg","Percent_control","Segment","Treatment","value"
"1","2023_05_24_0005",49.6020226612979,7.98763929206856,89.5822763402673,"Distal segments","18GA",0.145316619095765
"2","2023_05_24_0005_dup",49.0877095489488,9.68787626192465,89.3609846568875,"Distal segments","18GA",0.15107402369153
"3","2023_05_24_0007",25.2638986629134,1.54820548909218,18.7958115183246,"Proximal segments","18GA",-1.13506619183965
"4","2023_05_24_0007",79.5543905635649,13.8925294888598,42.5666199158485,"Proximal segments","18GA",-0.818936029737208
"5","2023_05_24_0002",24.3614931237721,5.1080550098232,43.3398058252428,"Distal segments","18GA",-0.922362077607308
"6","2023_05_24_0002",22.7593901078468,-5.91297880252892,36.1061946902654,"Distal segments","18GA",-1.19502381316372
"7","2023_05_24_0007_dup",20.0831600831602,-1.66320166320167,20.1923076923078,"Proximal segments","18GA",-0.980895690997561
"8","2023_05_24_0007_dup",16.6400629742199,0.26239258303635,26.7580872011252,"Proximal segments","18GA",-0.82153646384906
"9","2023_05_24_0002_dup",24.3614931237721,5.1080550098232,43.3398058252428,"Distal segments","18GA",-0.922362077607308
"10","2023_05_24_0002_dup",22.7593901078468,-5.91297880252892,36.1061946902654,"Distal segments","18GA",-1.19502381316372
"11","2023_05_25_0004",48.0154691634439,-4.78322817016076,57.312925170068,"Proximal segments","18GA",-0.42946427304786
"12","2023_05_25_0006",84.2008797653959,0.843108504398803,56.7861557478368,"Distal segments","18GA",2.13545947436435
"13","2023_05_25_0006",13.3666037226868,-13.6093876449959,35.7374684457266,"Distal segments","18GA",-0.84461531659174
"14","2023_05_25_0004_dup",78.5030803512912,-4.41735483025299,72.017797017797,"Proximal segments","18GA",0.913930132630066
"15","2023_05_25_0004_dup",58.1894540363976,-11.1992533831078,59.6936333173768,"Proximal segments","18GA",0.291124281759351
"16","2023_05_25_0006_dup",58.4033142985108,0.974135035270525,50.0335731414868,"Distal segments","18GA",1.58850603776691
"17","2023_05_25_0006_dup",68.1554524361949,-13.1960556844547,67.4899483055715,"Distal segments","18GA",0.517687103754404
"18","2023_05_25_0004_dupp",48.0154691634439,-4.78322817016076,57.312925170068,"Proximal segments","18GA",-0.42946427304786
"19","2023_05_25_0006_dupp",84.2008797653959,0.843108504398803,56.7861557478368,"Distal segments","18GA",2.13545947436435
"20","2023_05_25_0006_dupp",13.3666037226868,-13.6093876449959,35.7374684457266,"Distal segments","18GA",-0.84461531659174
